strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/BurkinaFaso/LNRFHV_429/2020	EPI_ISL_2716621		aboratoire National de Référence pour les Fièvres Hémorragiques Virales, Centre Muraz	Centre Muraz	Arsène Zongo et al
hCoV-19/Togo/BMC-1011-20/2020	EPI_ISL_1415293		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
hCoV-19/Ghana/84162_S45/2020	EPI_ISL_515103	MT890242.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
hCoV-19/Niger/ZR-188/2020	EPI_ISL_2835635		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Australia/QLD04/2020	EPI_ISL_410718		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
hCoV-19/Ghana/3177_S12/2020	EPI_ISL_422403		NMIMR, Department of Virology	WACCBIP, University of Ghana	Joyce M. Ngoi et al
hCoV-19/NewZealand/20VR3131/2020	EPI_ISL_1250695		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/BurkinaFaso/60/2021	EPI_ISL_2178990		Laboratoire d'analyse biomédicale du camp Ouezzin Coulibaly	Centre Muraz	Yacouba Sawadogo et al
hCoV-19/Denmark/DCGC-1480/2020	EPI_ISL_618102		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al
hCoV-19/Zambia/ZMB-1324/2020	EPI_ISL_2803648		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Ghana/81216_S36/2020	EPI_ISL_515098	MT890238.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
hCoV-19/Australia/NSW1518/2021	EPI_ISL_1383239		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Uganda/UG060/2020	EPI_ISL_737976		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
hCoV-19/SouthSudan/UG578/2020	EPI_ISL_2928025		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Uganda/UG150/2020	EPI_ISL_954253		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Uganda/UG356/2020	EPI_ISL_1469422		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Uganda/UG358/2020	EPI_ISL_1469424		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Cambodia/137932/2020	EPI_ISL_918363		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
hCoV-19/Uganda/UG262/2020	EPI_ISL_1469353		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Rwanda/NRLNAT4052/2021	EPI_ISL_2521989		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4050/2021	EPI_ISL_2521987		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4051/2021	EPI_ISL_2521988		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Uganda/UG401/2021	EPI_ISL_2346400		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG493/2021	EPI_ISL_2690463		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG637/2021	EPI_ISL_3149422		MRC/UVRI & LSHTM Uganda Research Unit, Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit, Uganda Virus Research Institute	Matthew Cotten et al
hCoV-19/Rwanda/NRLNAT4066/2021	EPI_ISL_2522096		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4068/2021	EPI_ISL_2811717		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4037/2021	EPI_ISL_2362524		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4038/2021	EPI_ISL_2362525		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Australia/WA11/2020	EPI_ISL_420456		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
hCoV-19/Australia/VPRL014/2020	EPI_ISL_455603		SA Pathology	VPRL	Beard et al
hCoV-19/Finland/FIN-25/2020	EPI_ISL_412971		HUS Diagnostiikkakeskus, Hallinto	Department of Virology Faculty of Medicine, Medicum University of Helsinki	Teemu Smura et al B (https://dx.doi.org/10.1002/jmv.25773)
hCoV-19/Greece/33_36910/2020	EPI_ISL_437893	MT459896.1	Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens	Laboratory of Biology, Department of Medicine, Democritus University of Thrace	Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
hCoV-19/Slovenia/4709/2020	EPI_ISL_2643977		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Oman/RESP-20-5505/2020	EPI_ISL_457994		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/Netherlands/NA_568/2020	EPI_ISL_460732		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Portugal/PT1149/2020	EPI_ISL_511696		ULS Baixo Alentejo	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/USA/WI-GMF-02381/2020	EPI_ISL_436900		Gundersen Molecular Diagnostics Laboratory	Kabara Cancer Research Institute	Craig S. Richmond et al (https://www.medrxiv.org/content/10.1101/2020.06.08.20125534v1)
hCoV-19/Taiwan/144/2020	EPI_ISL_421641		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al B
hCoV-19/Bulgaria/17/2020	EPI_ISL_480300		National Reference Laboratory "Influenza and acute respiratory diseases"	NRL-HIV	Ivan Ivanov et al
hCoV-19/Qatar/QA-QU_02-2-30/2020	EPI_ISL_1712693		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/BosniaandHerzegovina/ChVir7357/2020	EPI_ISL_462462		Clinical Center, University of Sarajevo	Charite Universitatsmedizin Berlin, Institute of Virology	Victor M Corman et al
hCoV-19/Ecuador/USFQ-128/2020	EPI_ISL_491933		Centro de Investigaciones, Universidad de Especialidades Espíritu Santo	Institute of Microbiology, Universidad San Francisco de Quito	Derly Andrade et al
hCoV-19/Canada/UN-CRCHUM-PostFreeze-9/2020	EPI_ISL_667774		Microbiology, Infectious Diseases and Immunology, Centre de Recherche du Centre Hospitalier de l'Universite de Montreal	Microbiology, Infectious Diseases and Immunology, Centre de Recherche du Centre Hospitalier de l'Universite de Montreal	Benoit et al
hCoV-19/Ecuador/USFQ-539/2020	EPI_ISL_697800		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Maldives/MAV0749/2020	EPI_ISL_3275383		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV02905/2020	EPI_ISL_3275386		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV3550/2020	EPI_ISL_3275390		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/USA/FL-QDX-278/2020	EPI_ISL_571029	MW064327.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
hCoV-19/Curacao/CW-RIVM-21720/2020	EPI_ISL_1014562		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Egypt/NRC-6823/2020	EPI_ISL_2232358		Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny et al
hCoV-19/Egypt/NRC-6985/2020	EPI_ISL_2232354		Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny et al
hCoV-19/USA/VA-DCLS-0076/2020	EPI_ISL_429975	MT415900.1	Virginia DCLS	Virginia DCLS	Virginia DCLS et al
hCoV-19/Madagascar/IP-01861/2020	EPI_ISL_508863		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
hCoV-19/Canada/AB-37518/2020	EPI_ISL_805308		Alberta Precision Labs (APL)	Alberta Precision Labs (APL)	Gordon P et al
hCoV-19/Aruba/AW-RIVM-10115/2020	EPI_ISL_547448		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/GuineaBissau/51LNSPGB/2020	EPI_ISL_2158597		Laboratório de Biologia Molecular Jean Piaget	MRCG at LSHTM, Genomics lab	Aladje Balde et al
hCoV-19/Guinea/Conakry_IPG17370/2021	EPI_ISL_2245977		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Mali/CICM9708/2021	EPI_ISL_2682597		CICM, Bamako	Malaria Research and Training Center-Bamako	Antoine Dara et al
hCoV-19/BurkinaFaso/0777/2020	EPI_ISL_660445		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
hCoV-19/Mali/M00960/2020	EPI_ISL_683835		CICM	Malaria Research and Training Center (MRTC-Parasito)	Antoine Dara et al
hCoV-19/BurkinaFaso/49/2021	EPI_ISL_2178989		Laboratoire d'analyse biomédicale du camp Ouezzin Coulibaly	Centre Muraz	Yacouba Sawadogo et al
hCoV-19/Coted-Ivoire/BKE0018/2020	EPI_ISL_614350		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/Slovenia/7994/2020	EPI_ISL_2644000		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Slovenia/6320/2020	EPI_ISL_2643860		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Canada/ON-UHTC-0219/2020	EPI_ISL_570022		Unity Health Toronto	Ontario Institute for Cancer Research	Ramzi Fattouh et al
hCoV-19/Somalia/CV1238/2020	EPI_ISL_2308259		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Ethiopia/ICGEB-S15/2021	EPI_ISL_2241623		Ethiopian Biotechnology Institute (EBTI)	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab for Genome Sequencing	Molalegne Bitew et al
hCoV-19/Slovenia/68334/2020	EPI_ISL_2644204		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Bahrain/340846298_S19_L001/2020	EPI_ISL_681307	MW332540.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Bahrain/023285711_S13_L001/2020	EPI_ISL_632283	MW228278.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	AlWasti et al
hCoV-19/Bahrain/340286642_S20_L001/2020	EPI_ISL_632261	MW228050.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	AlWasti et al
hCoV-19/Bahrain/340564387_S8_L001/2020	EPI_ISL_632263	MW228052.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	AlWasti et al
hCoV-19/Bahrain/340685804/2020	EPI_ISL_682300	MW341463.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Bahrain/340958054/2020	EPI_ISL_682302	MW341465.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Bahrain/920319237_S17_L001/2020	EPI_ISL_632267	MW228056.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	AlWasti et al
hCoV-19/Israel/n14270/2020	EPI_ISL_483715		Israel Central Virology laboratory	Israel Central Virology laboratory	Neta Zuckerman et al
hCoV-19/Serbia/CA3002-04/2020	EPI_ISL_455480		Veterinary Specialized Institute Kraljevo	Veterinary Specialized Institute Kraljevo	Vidanovic et al
hCoV-19/Egypt/CPHL-NRC-23/2020	EPI_ISL_794602	MW451600.1	Central Laboratories, Egyptian Ministry of Health and Population	Central Laboratories, Egyptian Ministry of Health and Population	Kayed et al
hCoV-19/Latvia/074/2020	EPI_ISL_501808		Centrālā laboratorija	Latvian Biomedical Research and Study Centre	Ivars Silamiķelis et al
hCoV-19/Serbia/Pancevo-007910104/2020	EPI_ISL_676576		Scientific Veterinary Institute Novi Sad	Veterinary Specialized Institute "Kraljevo", Serbia	Vidanovic et al
hCoV-19/USA/AZ-ASPHL-714/2020	EPI_ISL_2716378	MZ472702.1	Arizona State Public Health Laboratory	Arizona State Public Health Laboratory	Trung Huynh et al
hCoV-19/Colombia/ATL-INS-01/2020	EPI_ISL_653761		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al
hCoV-19/Colombia/ANT-INS-103573/2020	EPI_ISL_739676		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al
hCoV-19/Colombia/DC-C3/2020	EPI_ISL_2339890		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
hCoV-19/Colombia/BOL-INS-94411/2020	EPI_ISL_498161		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al
hCoV-19/USA/SC_NIDDL_14572/2020	EPI_ISL_1624291	MW976895.1	Naval Infectious Diseases Diagnostic Laboratory	Naval Medical Research Center Biological Defense Research Directorate	Logan Voegtly et al
hCoV-19/Colombia/DC-C107/2020	EPI_ISL_2339877		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
hCoV-19/Venezuela/VEN-95072/2020	EPI_ISL_476704		Incubadora Venezolana de Ciencia, Venezuela	Incubadora Venezolana de Ciencia, Venezuela / Instituto Nacional de Salud, Bogotá, Colombia / Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia / Icahn School of Medicine at Mount Sinai, New York, USA	Alberto Paniz-Mondolfi et al
hCoV-19/Colombia/AMA-GUR-06749/2020	EPI_ISL_941124		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
hCoV-19/Venezuela/Ta2423/2021	EPI_ISL_3298378		INHRR	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Venezuela/Ta2392/2021	EPI_ISL_3298764		INHRR	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Aruba/AW-RIVM-11405/2021	EPI_ISL_1014655		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Guyana/50822/2020	EPI_ISL_2500850		The Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/37679/2020	EPI_ISL_1490228		The Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/0876/2020	EPI_ISL_2230685		Trinidad Public Health Laboratory	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/39213/2020	EPI_ISL_1490226		The Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/TT4707/2020	EPI_ISL_717697		Trinidad Public Health Laboratory	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/TT44048/2020	EPI_ISL_756311		The Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
